occ10,occ18,ratio
0010,0010,1
0020,0020,1
0030,0030,1
0040,0040,1
0050,0051,0.5117
0050,0052,0.48830000000000007
0060,0060,1
0100,0101,0.3901
0100,0102,0.6099
0110,0110,1
0120,0120,1
0135,0135,1
0136,0136,1
0137,0137,1
0140,0140,1
0150,0150,1
0160,0160,1
0205,0205,1
0220,0220,1
0230,0230,1
0300,0300,1
0310,0310,1
0325,0325,1
0330,0335,1
0340,0340,1
0350,0350,1
0360,0360,1
0400,0400,1
0410,0410,1
0420,0420,1
0425,0425,1
0430,0335,0.0128
0430,0426,0.006
0430,0440,0.8413
0430,0705,0.1399
0500,0500,1
0510,0510,1
0520,0520,1
0530,0530,1
0540,0540,1
0565,0565,1
0600,0600,1
0630,0630,1
0640,0640,1
0650,0650,1
0700,0700,1
0710,0710,1
0725,0725,1
0726,0726,1
0735,0735,1
0740,0705,0.0707
0740,0750,0.9293
0800,0800,1
0810,0810,1
0820,0820,1
0830,0830,1
0840,0845,0.9823
0840,0960,0.0177
0850,0850,1
0860,0860,1
0900,0900,1
0910,0910,1
0930,0930,1
0940,0940,1
0950,0960,1
1005,1005,1
1006,1006,1
1007,1007,1
1010,1010,1
1020,1021,0.8988
1020,1022,0.1012
1030,1031,0.6767
1030,1032,0.3233
1050,1050,1
1060,1065,1
1105,1105,1
1106,1106,1
1107,0705,0.0064
1107,1022,0.0164
1107,1032,0.0055
1107,1065,0.013
1107,1108,0.9586999999999999
1200,1200,1
1210,1210,1
1220,1220,1
1230,1230,1
1240,1240,1
1300,1305,0.8466999999999999
1300,1306,0.1533
1310,1310,1
1320,1320,1
1330,1330,1
1340,1340,1
1350,1350,1
1360,1360,1
1400,1400,1
1410,1410,1
1420,1420,1
1430,1430,1
1440,1440,1
1450,1450,1
1460,1460,1
1500,1500,1
1510,1510,1
1520,1520,1
1530,1530,1
1540,1541,0.3382
1540,1545,0.6618
1550,1551,0.2932
1550,1555,0.7068
1560,1560,1
1600,1600,1
1610,1610,1
1640,1640,1
1650,1650,1
1660,1660,1
1700,1700,1
1710,1710,1
1720,1720,1
1740,1745,0.4004
1740,1750,0.5996
1760,1760,1
1800,1800,1
1815,1815,1
1820,1821,0.1591
1820,1822,0.2049
1820,1825,0.636
1830_1860,1830_1860,1
1840,1840,1
1900,1900,1
1910,1910,1
1920,1920,1
1930,1935,1
1940,1940,1
1950,1950,1
1965,1935,0.1319
1965,1970,0.8681
2000,2001,0.086
2000,2002,0.4445
2000,2003,0.0462
2000,2004,0.12190000000000001
2000,2005,0.0416
2000,2006,0.2598
2010,2011,0.1534
2010,2012,0.1291
2010,2013,0.0468
2010,2014,0.6707
2015,2015,1
2016,2016,1
2025,2025,1
2040,2040,1
2050,2050,1
2060,2060,1
2100,2100,1
2105,2105,1
2110,2110,1
2145,2145,1
2160,2170,0.5342
2160,2180,0.2641
2160,2862,0.2017
2200,2205,0.9423
2200,2545,0.0577
2300,2300,1
2310,2310,1
2320,2320,1
2330,2330,1
2340,2350,0.267
2340,2360,0.7329999999999999
2400,2400,1
2430,2435,1
2440,2440,1
2540,2545,1
2550,2435,0.0261
2550,2555,0.9739
2600,2600,1
2630,2631,0.025
2630,2632,0.0319
2630,2633,0.0882
2630,2634,0.3441
2630,2635,0.1077
2630,2636,0.0158
2630,2640,0.38730000000000003
2700,2700,1
2710,2710,1
2720,2721,0.097
2720,2722,0.7353
2720,2723,0.16770000000000002
2740,2740,1
2750,2751,0.2304
2750,2752,0.7696
2760,2755,0.0036
2760,2770,0.9964
2800,2805,0.8945
2800,2865,0.1055
2810,2810,1
2825,2825,1
2830,2830,1
2840,2840,1
2850,2850,1
2860,2861,0.9051
2860,2865,0.0949
2900_2960,2905_2970,0.9471999999999999
2900_2960,5040,0.0528
2910,2910,1
2920,2920,1
3000,3000,1
3010,3010,1
3030,3030,1
3040,3040,1
3050,3050,1
3060,3065,0.0191
3060,3070,0.0246
3060,3090,0.9046
3060,3100,0.0517
3110,3110,1
3120,3120,1
3140,3140,1
3150,3150,1
3160,3160,1
3200,3200,1
3210,3210,1
3220,3220,1
3230,3230,1
3235_3245,3235_3245,1
3250,3250,1
3255,3255,1
3256,3256,1
3257,3257,1
3258,3258,1
3260,3261,0.675
3260,3270,0.325
3300,3300,1
3310,3310,1
3320,3321,0.0837
3320,3322,0.2038
3320,3323,0.5748
3320,3324,0.09
3320,3330,0.0477
3400,3401,0.5406
3400,3402,0.4594
3420,3421,0.572
3420,3422,0.0561
3420,3423,0.1468
3420,3424,0.1832
3420,3430,0.0236
3420,3545,0.0183
3500,3500,1
3510,3515,1
3520,3520,1
3535,3545,1
3540,1980,0.4636
3540,3550,0.5364
3600,3601,0.21549999999999997
3600,3603,0.7551
3600,3605,0.029399999999999996
3610,3610,1
3620,3620,1
3630,3630,1
3640,3640,1
3645,3645,1
3646,3646,1
3647,3647,1
3648,3648,1
3649,3649,1
3655,3655,1
3700,3700,1
3710,3710,1
3720,3720,1
3730,3725,0.7751
3730,3735,0.2249
3740,3740,1
3750,3750,1
3800,3801,0.0787
3800,3802,0.9213000000000001
3820,3820,1
3830,3830,1
3840,3840,1
3850,3870,1
3860,3870,1
3900,3900,1
3910,3910,1
3930,3930,1
3940,3940,1
3945,3945,1
3955,3946,0.0245
3955,3960,0.9754999999999999
4000,4000,1
4010,4010,1
4020,4020,1
4030,4030,1
4040,4040,1
4050,4055,1
4060,4055,1
4110,4110,1
4120,4120,1
4130,4130,1
4140,4140,1
4150,4150,1
4160,4160,1
4200,4200,1
4210,4210,1
4220,4220,1
4230,4230,1
4240,4240,1
4250,4251,0.8757
4250,4252,0.0668
4250,4255,0.057499999999999996
4300,4330,1
4320,4330,0.9794
4320,9005,0.0206
4340,4340,1
4350,4350,1
4400,4400,1
4410,4435,1
4420,4420,1
4430,4435,1
4460,4461,1
4465,4465,1
4500,4500,1
4510,4510,1
4520,4521,0.7215
4520,4522,0.1942
4520,4525,0.0843
4530,4530,1
4540,4540,1
4600,4600,1
4610,3602,1
4620,4621,0.4245
4620,4622,0.5755
4640,4640,1
4650,4461,0.0145
4650,4655,0.9855
4700,4700,1
4710,4710,1
4720,4720,1
4740,4740,1
4750,4750,1
4760,4760,1
4800,4800,1
4810,4810,1
4820,4820,1
4830,4830,1
4840,4840,1
4850,4850,1
4900,4900,1
4920,4920,1
4930,4930,1
4940,4940,1
4950,4950,1
4965,4965,1
5000,5000,1
5010,5010,1
5020,5020,1
5030,5040,1
5100,5100,1
5110,5110,1
5120,5120,1
5130,5130,1
5140,5140,1
5150,5150,1
5160,5160,1
5165,5165,1
5200,5200,1
5210,5210,1
5220,5220,1
5230,5230,1
5240,5240,1
5250,5250,1
5260,5260,1
5300,5300,1
5310,5310,1
5320,5320,1
5330,5330,1
5340,5340,1
5350,5350,1
5360,5360,1
5400,5400,1
5410,5410,1
5420,5420,1
5500,5500,1
5510,5510,1
5520,5521,0.3331
5520,5522,0.6669
5530,5530,1
5540,5540,1
5550,5550,1
5560,5560,1
5600,5600,1
5610,5610,1
5620,9645,1
5630,5630,1
5700,5710,0.0642
5700,5720,0.0277
5700,5730,0.0327
5700,5740,0.8754
5800,1108,1
5810,5810,1
5820,5820,1
5830,5830,1
5840,5840,1
5850,5850,1
5860,5860,1
5900,5900,1
5910,5910,1
5920,5920,1
5940,5940,1
6005,6005,1
6010,6010,1
6020,6020,1
6040,6040,1
6050,6050,1
6100_6110,6115,1
6120,6120,1
6130,6130,1
6200,6200,1
6210,6210,1
6220,6220,1
6230,6230,1
6240,6240,1
6250,6250,1
6260,6260,1
6300,6305,1
6310_6320,6305,1
6330,6330,1
6355,6355,1
6360,6360,1
6400,6400,1
6420,6410,1
6430,6410,1
6440,6441,0.0953
6440,6442,0.9047000000000001
6460,6460,1
6500,6500,1
6515,6515,1
6520,6520,1
6530,6530,1
6540_6765,6540_6765,1
6600,6600,1
6660,6660,1
6700,6700,1
6710,6710,1
6720,6720,1
6730,6730,1
6740,6740,1
6750,6750,1
6800,6800,1
6820,6825,0.9753000000000001
6820,6835,0.024700000000000003
6830,6835,1
6840,6850,0.7356
6840,6950,0.2644
6910,6950,1
6920,6920,1
6930,6950,1
6940,6950,1
7000,7000,1
7010,7010,1
7020,7020,1
7030,7030,1
7040,7040,1
7050,7050,1
7100,7100,1
7110,7110,1
7120,7120,1
7130,7130,1
7140,7140,1
7150,7150,1
7160,7160,1
7200,7200,1
7210,7210,1
7220,7220,1
7240,7240,1
7260,7260,1
7300,7300,1
7315,7315,1
7320,7320,1
7330,7330,1
7340,7340,1
7350,7350,1
7360,7360,1
7410,7410,1
7420,7420,1
7430,7430,1
7440_7630,7440_7640,1
7510,7510,1
7520,7520,1
7540,7540,1
7550,7550,1
7560,7560,1
7600,7440_7640,1
7610,7610,1
7700,7700,1
7710,7710,1
7720,7720,1
7730,7730,1
7740,7740,1
7750,7750,1
7800,7800,1
7810,7810,1
7830,7830,1
7840,7840,1
7850,7850,1
7855,7855,1
7900,7905,1
7920,7925,1
7930,7925,1
7940,7925,1
7950,7950,1
8000,8000,1
7960,8025,1
8010,8025,1
8020,8025,1
8030,8030,1
8040,8040,1
8060,8060,1
8100,8100,1
8130,8130,1
8140,8140,1
8120,8225,1
8150,8225,1
8160,8225,1
8200,8225,1
8210,8225,1
8220,8225,1
8250,8250,1
8255_8256,8255_8256,1
8300,8300,1
8310,8310,1
8320,8320,1
8330,8335,1
8340,8335,1
8350,8350,1
8360,8365,1
8400,8365,1
8410,8365,1
8420,8365,1
8450,8450,1
8430_8460,8465,1
8440,8465,1
8500,8500,1
8510,8510,1
8530,8530,1
8540,8540,1
8520_8550,8555,1
8600,8600,1
8610,8610,1
8620,8620,1
8630,8630,1
8640,8640,1
8650,8650,1
8710,8710,1
8720,8720,1
8730,8730,1
8740,8740,1
8750,8750,1
8760,8760,1
8800,8800,1
8810,8810,1
8830,8830,1
8850,8850,1
8910,8910,1
8920,8920,1
8930,8930,1
8940,8940,1
8950,8950,1
8860,8865,1
8900,8865,1
8840,8990,1
8965,7905,0.0623
8965,8990,0.9377
9000,9005,1
9030,9030,1
9040,9040,1
9050,9050,1
9110,9110,1
9120,9121,0.5825
9120,9122,0.4009
9120,9141,0.0166
9130,9130,1
9140,9141,0.44109999999999994
9140,9142,0.5589
9150,9150,1
9200,9210,0.9441
9200,9265,0.0559
9230,9265,1
9240,9240,1
9260,9265,1
9300,9300,1
9310,9310,1
9330,9330,1
9350,9350,1
9360,9365,1
9410,9410,1
9415,9415,1
9340,9430,1
9420,9365,0.4031
9420,9430,0.5969
9510,9510,1
9500,9570,1
9520,6821,0.4174
9520,6850,0.0268
9520,9570,0.1415
9520,9760,0.4143
9560,9570,1
9600,9600,1
9610,9610,1
9620,9620,1
9630,9630,1
9640,9640,1
9650,9650,1
9720,9720,1
9730,6850,1
9740,9760,1
9750,9760,1
